"Gene","Description"
"Tb927.5.4850","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4860","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.5.4870","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4880","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4890","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, truncated, degenerate"
"Tb927.5.4900","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.4920","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.5.4930","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.5.4940","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.4950","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.5.4960","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.4980","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.5010","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5020","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative,UDP-Gal or UDP- GlcNAc-dependent glycosyltransferase, point mutation"
"Tb927.5.5070","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.5.5080","variant surface glycoprotein (VSG), putative"
"Tb927.5.5100","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5110","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5120","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5140","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative,UDP-Gal or UDP- GlcNAc-dependent glycosyltransferase, degenerate"
"Tb927.5.5150","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5160","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5170","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.5.5180","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative,UDP-Gal or UDP- GlcNAc-dependent glycosyltransferase, degenerate"
"Tb927.5.5190","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5200","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5220","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5230","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene (ESAG), degenerate"
"Tb927.5.5240","variant surface glycoprotein (VSG), putative"
"Tb927.5.5250","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.5.5260","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.5.5270","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.5280","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.5290","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5300","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5310","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.5.5320","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5330","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.5.5340","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene (ESAG), degenerate"
"Tb927.5.5350","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, truncated"
"Tb927.5.5360","Variant Surface Glycoprotein, putative"
"Tb927.5.5370","Variant Surface Glycoprotein, putative"
"Tb927.5.5380","Variant Surface Glycoprotein, putative"
"Tb927.5.5390","Variant Surface Glycoprotein, putative"
"Tb927.5.5400","Variant Surface Glycoprotein, putative"
"Tb927.5.5410","Variant Surface Glycoprotein, putative"
"Tb927.5.5420","Variant Surface Glycoprotein, putative"
"Tb927.5.5430","Variant Surface Glycoprotein, putative"
"Tb927.5.5440","Variant Surface Glycoprotein, putative"
"Tb927.5.5450","Variant Surface Glycoprotein, putative"
"Tb927.5.5460","Variant Surface Glycoprotein, putative"
"Tb927.5.5470","Variant Surface Glycoprotein, putative"
"Tb927.5.5480","Variant Surface Glycoprotein, putative"
"Tb927.5.5490","Variant Surface Glycoprotein, putative"
"Tb927.5.5500","Variant Surface Glycoprotein, putative"
"Tb927.5.5510","Variant Surface Glycoprotein, putative"
"Tb927.5.5520","Variant Surface Glycoprotein, putative"
"Tb927.5.5550","Variant Surface Glycoprotein, putative"
"Tb927.5.5560","Variant Surface Glycoprotein, putative"
"Tb927.5.5590","Variant Surface Glycoprotein, putative"
"Tb927.5.5600","Variant Surface Glycoprotein, putative"
"Tb927.5.5610","Variant Surface Glycoprotein, putative"
"Tb927.5.5620","Variant Surface Glycoprotein, putative"
"Tb927.5.5630","Variant Surface Glycoprotein, putative"
"Tb927.5.5640","Variant Surface Glycoprotein, putative"
"Tb927.5.5650","Variant Surface Glycoprotein, putative"
"Tb927.5.5660","Variant Surface Glycoprotein, putative"
"Tb927.5.5670","Variant Surface Glycoprotein, putative"
"Tb927.5.5680","Variant Surface Glycoprotein, putative"
"Tb927.5.5690","Variant Surface Glycoprotein, putative"
"Tb927.5.610","acidic phosphatase, putative"
"Tb927.5.890","oligosaccharyl transferase subunit, putative"
"Tb927.5.900","oligosaccharyl transferase subunit, putative"
"Tb927.5.910","oligosaccharyl transferase subunit, putative"
"Tb927.5.990","hypothetical protein, conserved"
"Tb927.6.1000","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1010","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1020","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (Rhodesain)"
"Tb927.6.1030","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1040","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1050","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1060","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.1250","hypothetical protein, conserved"
"Tb927.6.1300","hypothetical protein"
"Tb927.6.1310","hypothetical protein, conserved"
"Tb927.6.1320","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)"
"Tb927.6.1330","hypothetical protein, conserved"
"Tb927.6.1350","hypothetical protein, conserved"
"Tb927.6.1360","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)"
"Tb927.6.1370","hypothetical protein, conserved"
"Tb927.6.1380","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)"
"Tb927.6.1390","hypothetical protein, conserved"
"Tb927.6.1560","hypothetical protein, conserved"
"Tb927.6.2170","co-chaperone GrpE, putative"
"Tb927.6.2260","hypothetical protein, conserved"
"Tb927.6.2270","hypothetical protein, conserved"
"Tb927.6.2280","hypothetical protein, conserved"
"Tb927.6.2290","hypothetical protein, conserved"
"Tb927.6.2300","adenosine kinase, putative"
"Tb927.6.2310","hypothetical protein, conserved"
"Tb927.6.2320","hypothetical protein, conserved"
"Tb927.6.2330","RGG protein (RGG1)"
"Tb927.6.2340","hypothetical protein, conserved"
"Tb927.6.2350","hypothetical protein, conserved"
"Tb927.6.2360","adenosine kinase, putative"
"Tb927.6.2370","ubiquitin-protein ligase, putative"
"Tb927.6.240","hypothetical protein, conserved"
"Tb927.6.250","hypothetical protein"
"Tb927.6.2670","NUDIX hydrolase dihydroneopterin triphosphate pyrophosphohydrolase/hydrolase, putative"
"Tb927.6.280","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.300","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.3010","hypothetical protein, conserved"
"Tb927.6.3050","aldehyde dehydrogenase family, putative"
"Tb927.6.3100","hypothetical protein, conserved"
"Tb927.6.310","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.320","receptor-type adenylate cyclase GRESAG 4, pseudogene, putative,receptor-type adenylate cyclase GRESAG 4, degenerate"
"Tb927.6.3210","hypothetical protein, conserved"
"Tb927.6.3250","hypothetical protein, conserved"
"Tb927.6.3270","hypothetical protein, conserved"
"Tb927.6.3380","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), degenerate"
"Tb927.6.3390","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 2 (ESAG2), frameshift"
"Tb927.6.340","receptor-type adenylate cyclase GRESAG 4, pseudogene, putative,receptor-type adenylate cyclase GRESAG 4, degenerate"
"Tb927.6.3740","heat shock 70 kDa protein, mitochondrial precursor, putative"
"Tb927.6.3790","valosin-containing protein homolog, putative,AAA ATPase"
"Tb927.6.3800","heat shock 70 kDa protein, mitochondrial precursor, putative"
"Tb927.6.380","hypothetical protein, conserved"
"Tb927.6.390","adenylyl cyclase, pseudogene, putative,adenylyl cyclase, degenerate"
"Tb927.6.4210","aldehyde dehydrogenase, putative (ALDH)"
"Tb927.6.4300","glyceraldehyde 3-phosphate dehydrogenase, glycosomal (GAPDH)"
"Tb927.6.4400","hypothetical protein, conserved"
"Tb927.6.4410","S-adenosylmethionine decarboxylase (AdoMetDC)"
"Tb927.6.4450","hypothetical protein, conserved"
"Tb927.6.4460","S-adenosylmethionine decarboxylase (AdoMetDC)"
"Tb927.6.4490","hypothetical protein, conserved"
"Tb927.6.450","EP3-2 procyclin,PARP,procyclin PARP A,procyclin B1- alpha,procyclic acidic repetitive protein A.beta,procyclic form specific polypeptide B1-alpha precursor"
"Tb927.6.460","procyclin associated gene 3 (PAG3) protein,procyclin PARP A,procyclic acidic repetitive protein A (PAG3)"
"Tb927.6.470","gene related to expression site-associated gene 2 (GRESAG2), putative"
"Tb927.6.480","EP3-2 procyclin,PARP A-beta,surface protein EP3-2,surface protein EP3-2 procyclin precursor,procyclic form specific polypeptide A-beta precursor"
"Tb927.6.4840","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4850","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4860","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4870","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4880","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4890","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4900","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.490","procyclin associated gene 3 (PAG3) protein,procyclin PARP A,procyclic acidic repetitive protein A (PAG3)"
"Tb927.6.4910","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4920","S-adenosylmethionine synthetase, putative (METK1)"
"Tb927.6.4970","serine/arginine-rich protein specific kinase SRPK, putative,protein kinase, putative"
"Tb927.6.500","gene related to expression site-associated gene 2 (GRESAG2), putative"
"Tb927.6.5070","hypothetical protein, conserved"
"Tb927.6.5170","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 4 (RHS4), interrupted"
"Tb927.6.5180","retrotransposon hot spot protein (RHS, pseudogene), putative,retrotransposon hot spot protein 4 (RHS4), interrupted"
"Tb927.6.5190","DNA-directed RNA polymerase III, pseudogene, putative,DNA-directed RNA polymerase III, degenerate"
"Tb927.6.5220","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.6.5240","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.6.5300","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5310","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative,UDP-Gal or UDP- GlcNAc-dependent glycosyltransferase, degenerate"
"Tb927.6.5320","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.6.5330","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5350","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5360","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5370","variant surface glycoprotein (VSG), putative"
"Tb927.6.5380","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, truncated"
"Tb927.6.5390","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5400","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5410","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5450","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.6.5460","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5470","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5480","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5490","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5500","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5510","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5520","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5530","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5540","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5550","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.6.5560","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5570","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.6.5580","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5590","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.6.5610","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5620","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5630","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.6.5650","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5670","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5680","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5690","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.6.5700","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.6.5710","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5720","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5760","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.5770","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.6.5780","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.6.5790","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.6.5810","transposase of Tn10"
"Tb927.6.5830","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.6.720","40S ribosomal protein L14, putative"
"Tb927.6.760","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.770","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.780","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.790","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.800","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.6.960","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.970","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.980","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.6.990","cysteine peptidase, Clan CA, family C1, Cathepsin L-like (CP)"
"Tb927.7.100","variant surface glycoprotein (VSG), putative"
"Tb927.7.110","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.7.120","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.7.1210","regulator of chromosome condensation, putative"
"Tb927.7.1270","hypothetical protein, conserved"
"Tb927.7.1280","hypothetical protein, conserved"
"Tb927.7.1320","10 kDa heat shock protein, putative (HSP10)"
"Tb927.7.1340","10 kDa heat shock protein, putative (HSP10)"
"Tb927.7.150","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.7.1530","hypothetical protein, conserved"
"Tb927.7.1740","60S ribosomal protein L7, putative"
"Tb927.7.1750","60S ribosomal protein L7, putative"
"Tb927.7.1810","hypothetical protein, conserved"
"Tb927.7.1820","hypothetical protein, conserved"
"Tb927.7.1830","hypothetical protein, conserved"
"Tb927.7.1840","zinc finger protein, putative"
"Tb927.7.1850","hypothetical protein, conserved"
"Tb927.7.1860","hypothetical protein, conserved"
"Tb927.7.1870","hypothetical protein, conserved"
"Tb927.7.1880","zinc finger protein, putative"
"Tb927.7.1890","hypothetical protein, conserved"
"Tb927.7.1950","retrotransposon hot spot protein 7 (RHS7), putative"
"Tb927.7.1960","retrotransposon hot spot protein 7 (RHS7), putative"
"Tb927.7.1970","retrotransposon hot spot protein 7 (RHS7), putative"
"Tb927.7.2020","retrotransposon hot spot protein 7 (RHS7), putative"
"Tb927.7.2130","hypothetical protein, conserved"
"Tb927.7.2200","hypothetical protein, conserved"
"Tb927.7.2300","Nucleoporin (TbNup132)"
"Tb927.7.230","40S ribosomal protein S33, putative"
"Tb927.7.2370","40S ribosomal protein S15, putative"
"Tb927.7.240","40S ribosomal protein S33, putative"
"Tb927.7.2650","hypothetical protein, conserved"
"Tb927.7.2820","histone H2A, putative"
"Tb927.7.2830","histone H2A, putative"
"Tb927.7.2840","histone H2A, putative"
"Tb927.7.2850","histone H2A, putative"
"Tb927.7.2860","histone H2A, putative"
"Tb927.7.2870","histone H2A, putative"
"Tb927.7.2880","histone H2A, putative"
"Tb927.7.2890","histone H2A, putative"
"Tb927.7.2900","histone H2A, putative"
"Tb927.7.2910","histone H2A, putative"
"Tb927.7.2920","histone H2A, putative"
"Tb927.7.2930","histone H2A, putative"
"Tb927.7.2940","histone H2A, putative"
"Tb927.7.2980","hypothetical protein, conserved"
"Tb927.7.2985","hypothetical protein"
"Tb927.7.2990","hypothetical protein, conserved"
"Tb927.7.3020","hypothetical protein, conserved"
"Tb927.7.3025","hypothetical protein"
"Tb927.7.3030","hypothetical protein, conserved"
"Tb927.7.3100","hypothetical protein, conserved"
"Tb927.7.3210","protein kinase, putative"
"Tb927.7.3240","hypothetical protein, conserved"
"Tb927.7.3250","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 6 (ESAG6) protein, putative"
"Tb927.7.3260","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 7 (ESAG7) protein, putative"
"Tb927.7.3600","hypothetical protein, conserved"
"Tb927.7.360","hypothetical protein, conserved"
"Tb927.7.370","hypothetical protein, conserved"
"Tb927.7.380","hypothetical protein, conserved"
"Tb927.7.3820","hypothetical protein, conserved"
"Tb927.7.390","hypothetical protein, conserved"
"Tb927.7.3950","RNA-editing complex protein,RNA-editing 3' terminal uridylyl transferase 1,KRET1 (KRET1)"
"Tb927.7.3960","50S ribosomal protein L16, putative"
"Tb927.7.3990","mitochondrial DNA polymerase I protein C (POL1C)"
"Tb927.7.400","hypothetical protein, conserved"
"Tb927.7.4060","calpain-like cysteine peptidase, putative,cysteine peptidase, Clan CA, family C2, putative"
"Tb927.7.410","hypothetical protein, conserved"
"Tb927.7.4140","hypothetical protein, conserved"
"Tb927.7.4240","hypothetical protein, conserved"
"Tb927.7.4250","hypothetical protein, conserved"
"Tb927.7.430","hypothetical protein, conserved"
"Tb927.7.4380","hypothetical protein, conserved"
"Tb927.7.440","hypothetical protein, conserved"
"Tb927.7.4990","hypothetical protein, conserved"
"Tb927.7.5000","60S ribosomal protein L19, putative"
"Tb927.7.5020","60S ribosomal protein L19, putative"
"Tb927.7.5070","hypothetical protein"
"Tb927.7.5170","60S ribosomal protein L23a,60S ribosomal protein L25"
"Tb927.7.5400","hypothetical protein, conserved"
"Tb927.7.5410","hypothetical protein, conserved"
"Tb927.7.5420","hypothetical protein, conserved"
"Tb927.7.5430","hypothetical protein, conserved"
"Tb927.7.5440","hypothetical protein, conserved"
"Tb927.7.5560","glucosamine-fructose-6-phosphate aminotransferase, putative"
"Tb927.7.5670","hypothetical protein, conserved"
"Tb927.7.5710","hypothetical protein, conserved"
"Tb927.7.5890","hypothetical protein, conserved"
"Tb927.7.5940","Protein Associated with Differentiation (PAD2)"
"Tb927.7.5980","protein associated with differentiation 6, putative (PAD6)"
"Tb927.7.5990","protein associated with differentiation 7, putative (PAD7)"
"Tb927.7.6010","hypothetical protein"
"Tb927.7.6030","hypothetical protein"
"Tb927.7.6040","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.7.6070","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.7.6080","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.7.6130","hypothetical protein, conserved"
"Tb927.7.6310","polo-like protein kinase,protein kinase (PLK)"
"Tb927.7.6330","hypothetical protein"
"Tb927.7.6390","hypothetical protein, conserved"
"Tb927.7.6420","hypothetical protein, conserved"
"Tb927.7.6425","hypothetical protein"
"Tb927.7.6520","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift"
"Tb927.7.6530","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.7.6570","hypothetical protein, conserved"
"Tb927.7.6590","hypothetical protein, conserved"
"Tb927.7.6830","trans-sialidase, putative"
"Tb927.7.6850","trans-sialidase (TS)"
"Tb927.7.6870","hypothetical protein, conserved"
"Tb927.7.6920","hypothetical protein, conserved"
"Tb927.7.7420","ATP synthase alpha chain, mitochondrial precursor,ATP synthase F1, alpha subunit"
"Tb927.7.7530","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.7.980","hypothetical protein, conserved"
"Tb927.7.990","chaperone protein DNAj, putative"
"Tb927.8.100","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.8.1090","NPAPL,nuclear-poly(A)-polymerase-like (NPAPL)"
"Tb927.8.1100","protein kinase, putative"
"Tb927.8.110","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.8.1130","protein phosphatase with EF-Hand domains, putative"
"Tb927.8.1160","vacuolar-type Ca2+-ATPase, putative"
"Tb927.8.1170","hypothetical protein, conserved"
"Tb927.8.120","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.8.1250","hypothetical protein, conserved"
"Tb927.8.130","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.8.140","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment, degenerate"
"Tb927.8.1610","MSP-B, putative"
"Tb927.8.1620","MSP-B, putative"
"Tb927.8.1630","MSP-B, putative"
"Tb927.8.1640","MSP-B, putative"
"Tb927.8.1650","Protein Associated with Differentiation, putative"
"Tb927.8.170","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.8.1770","hypothetical protein, conserved"
"Tb927.8.180","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment"
"Tb927.8.1850","mitochondrial calcium uptake 1"
"Tb927.8.190","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.200","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative"
"Tb927.8.2260","hypothetical protein, conserved"
"Tb927.8.2270","hypothetical protein, conserved"
"Tb927.8.2280","hypothetical protein, conserved"
"Tb927.8.230","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.8.240","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.2410","amidase, putative"
"Tb927.8.250","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.2640","ubiquitin-activating enzyme e1, putative (UBA1)"
"Tb927.8.2790","acetyl-CoA synthetase (pseudogene), putative,acetyl-CoA synthetase, truncated"
"Tb927.8.280","variant surface glycoprotein (VSG), putative"
"Tb927.8.2830","hypothetical protein, conserved"
"Tb927.8.2900","mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, fragment"
"Tb927.8.290","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.2920","mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative"
"Tb927.8.2930","mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative"
"Tb927.8.2940","mannosyl-oligosaccharide 1,2-alpha-mannosidase IB, putative"
"Tb927.8.2950","hypothetical protein, conserved"
"Tb927.8.3010","hypothetical protein, conserved"
"Tb927.8.3080","hypothetical protein, conserved"
"Tb927.8.310","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.320","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.330","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.8.3360","hypothetical protein, conserved"
"Tb927.8.340","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.3410","hypothetical protein, conserved"
"Tb927.8.3490","hypothetical protein, conserved"
"Tb927.8.3500","hypothetical protein, conserved"
"Tb927.8.350","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation"
"Tb927.8.3510","thymidylate kinase, putative"
"Tb927.8.360","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.3630","folate transporter, putative,expression site-associated gene 10 (ESAG10) protein, putative"
"Tb927.8.370","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.8.380","variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate"
"Tb927.8.3890","hypothetical protein, conserved"
"Tb927.8.3900","hypothetical protein, conserved"
