"Gene","Description"
"Tb927.1.5240","expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.1.5280","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), pseudogene"
"Tb927.1.5290","hypothetical protein, unlikely"
"Tb927.1.5300","variant surface glycoprotein (VSG), putative"
"Tb927.1.5330","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.1.540","DNA-directed RNA polymerase III, putative,RNA polymerase subunit, putative (RPC128)"
"Tb927.1.580","phosphate-repressible phosphate permease, putative"
"Tb927.1.710","phosphoglycerate kinase (PGKB)"
"Tb927.1.790","hypothetical transmembrane protein, conserved"
"Tb927.1.850","hypothetical protein, unlikely"
"Tb927.10.10060","hypothetical protein, unlikely"
"Tb927.10.100","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 2 (ESAG2), degenerate"
"Tb927.10.10130","mitochondrial RNA binding complex 1 subunit (MRB10130)"
"Tb927.10.10220","procyclin-associated gene 2 (PAG2) protein (PAG2)"
"Tb927.10.10250","EP2 procyclin (EP2)"
"Tb927.10.10260","EP1 procyclin (EP1)"
"Tb927.10.10290","hypothetical protein, conserved"
"Tb927.10.1030","serine peptidase, Clan SC, Family S10,serine carboxypeptidase III precursor, putative (CBP1)"
"Tb927.10.10370","hypothetical protein, conserved"
"Tb927.10.1040","serine peptidase, Clan SC, Family S10,serine carboxypeptidase III precursor, putative (CBP1)"
"Tb927.10.10460","histone H2B, putative"
"Tb927.10.10470","histone H2B, putative"
"Tb927.10.10480","histone H2B, putative"
"Tb927.10.10490","histone H2B, putative"
"Tb927.10.10500","histone H2B, putative"
"Tb927.10.10510","histone H2B, putative"
"Tb927.10.10515","histone H2B"
"Tb927.10.10520","histone H2B, putative"
"Tb927.10.10530","histone H2B, putative"
"Tb927.10.10540","histone H2B, putative"
"Tb927.10.10550","histone H2B, putative"
"Tb927.10.10560","histone H2B, putative"
"Tb927.10.10570","histone H2B, putative"
"Tb927.10.10580","histone H2B, putative"
"Tb927.10.10590","histone H2B, putative"
"Tb927.10.10770","Generative cell specific 1 protein, putative (GCS1)"
"Tb927.10.1080","40S ribosomal protein S23, putative (RPS23)"
"Tb927.10.10890","heat shock protein, putative"
"Tb927.10.10900","heat shock protein, putative"
"Tb927.10.1090","40S ribosomal protein S23, putative (RPS23)"
"Tb927.10.10910","heat shock protein, putative"
"Tb927.10.10920","heat shock protein, putative"
"Tb927.10.10930","heat shock protein, putative"
"Tb927.10.10940","heat shock protein, putative"
"Tb927.10.10950","heat shock protein, putative"
"Tb927.10.10960","heat shock protein, putative"
"Tb927.10.10970","heat shock protein, putative"
"Tb927.10.10980","heat shock protein 90, putative"
"Tb927.10.10","variant surface glycoprotein VSG 10.1"
"Tb927.10.110","retrotransposon hot spot protein 2 (RHS2), pseudogene"
"Tb927.10.11310","intraflagellar transport protein IFT55/IFT57, putative (IFT57/55)"
"Tb927.10.11430","hypothetical protein, conserved"
"Tb927.10.11450","TFIIF-stimulated CTD phosphatase, putative"
"Tb927.10.11600","hypothetical protein, conserved"
"Tb927.10.1190","hypothetical protein, conserved"
"Tb927.10.120","hypothetical protein"
"Tb927.10.1220","hypothetical protein"
"Tb927.10.12400","membrane transporter protein, putative"
"Tb927.10.12710","heat shock protein 110, putative"
"Tb927.10.12915","hypothetical protein"
"Tb927.10.1320","hypothetical protein, conserved"
"Tb927.10.13250","hypothetical protein, conserved"
"Tb927.10.13300","30S ribosomal protein S8, putative"
"Tb927.10.13360","Elongation factor Tu, mitochondrial (EF-Tu)"
"Tb927.10.13370","Dynein light chain Tctex-type, putative"
"Tb927.10.13580","major facilitator superfamily protein (MFS), putative"
"Tb927.10.13690","hypothetical protein, conserved"
"Tb927.10.13940","hypothetical protein, unlikely"
"Tb927.10.14070","mevalonate diphosphate decarboxylase"
"Tb927.10.14080","RNA-binding protein 27, putative (RBP27)"
"Tb927.10.14090","transporter, putative"
"Tb927.10.14330","hypothetical protein, conserved"
"Tb927.10.14390","hypothetical protein, conserved"
"Tb927.10.14620","hypothetical protein, conserved"
"Tb927.10.14630","fibrillarin, putative"
"Tb927.10.14700","hypothetical protein, conserved"
"Tb927.10.1470","hypoxanthine-guanine phosphoribosyltransferase (HGPRT)"
"Tb927.10.14710","40S ribosomal protein S2, putative (RPS2)"
"Tb927.10.14820","Mitochondrial ADP/ATP carrier protein 5c (MCP5c)"
"Tb927.10.14830","Mitochondrial ADP/ATP carrier protein 5b, putative (MCP5b)"
"Tb927.10.14840","Mitochondrial ADP/ATP carrier protein 5a, putative (MCP5a)"
"Tb927.10.14870","hypothetical protein, conserved"
"Tb927.10.15100","hypothetical protein, conserved"
"Tb927.10.15110","hypothetical protein, conserved"
"Tb927.10.15120","40S ribosomal protein S13, putative"
"Tb927.10.15170","hypothetical protein, conserved"
"Tb927.10.15260","leucine-rich repeat protein (LRRP), putative"
"Tb927.10.15310","hypothetical protein, conserved"
"Tb927.10.15330","hypothetical protein, conserved"
"Tb927.10.15410","glycosomal malate dehydrogenase (gMDH)"
"Tb927.10.15620","hypothetical protein"
"Tb927.10.15700","hypothetical protein, conserved"
"Tb927.10.15770","hypothetical protein, conserved"
"Tb927.10.15900","hypothetical protein, conserved"
"Tb927.10.16190","expression site-associated gene 4 (ESAG4) protein, putative,receptor-type adenylate cyclase, putative"
"Tb927.10.16200","hypothetical protein, conserved"
"Tb927.10.16210","hypothetical protein, conserved"
"Tb927.10.16220","Variant Surface Glycoprotein, putative"
"Tb927.10.16230","Variant Surface Glycoprotein, putative"
"Tb927.10.16240","Variant Surface Glycoprotein, putative"
"Tb927.10.16260","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16270","variant surface glycoprotein, fragment"
"Tb927.10.16300","variant surface glycoprotein, fragment"
"Tb927.10.16310","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16330","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16340","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative"
"Tb927.10.16350","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16360","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16380","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16390","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16400","variant surface glycoprotein"
"Tb927.10.16410","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16420","variant surface glycoprotein, fragment"
"Tb927.10.16430","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16440","variant surface glycoprotein, fragment"
"Tb927.10.16450","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16460","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16470","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16480","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16500","variant surface glycoprotein (VSG), putative"
"Tb927.10.16510","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16520","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16530","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16550","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.16560","variant surface glycoprotein (VSG), putative"
"Tb927.10.1910","serine/threonine protein kinase, putative"
"Tb927.10.1970","hypothetical protein, conserved"
"Tb927.10.2010","hexokinase (HK1)"
"Tb927.10.2040","protein kinase, putative"
"Tb927.10.20","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.10.2100","elongation factor 1-alpha,EF-1-alpha (TEF1)"
"Tb927.10.2110","elongation factor 1-alpha (TEF1)"
"Tb927.10.2300","hypothetical protein, conserved"
"Tb927.10.2460","hypothetical protein, conserved"
"Tb927.10.2500","hypothetical protein, conserved"
"Tb927.10.2700","predicted WD40 repeat protein"
"Tb927.10.2950","hypothetical protein, conserved"
"Tb927.10.2980","proteasome regulatory non-ATPase subunit 11,Metallo-peptidase, Clan MP, Family M67,19S proteasome regulatory subunit 11 (RPN11)"
"Tb927.10.3030","proteasome regulatory non-ATPase subunit 11,Metallo-peptidase, Clan MP, Family M67,19S proteasome regulatory subunit 11 (RPN11)"
"Tb927.10.30","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.10.3130","hypothetical protein, conserved"
"Tb927.10.3400","hypothetical protein, conserved"
"Tb927.10.3420","NADH-ubiquinone oxidoreductase c, putative"
"Tb927.10.3500","RNA-binding protein, putative (RBSR4)"
"Tb927.10.3510","hypothetical protein, conserved"
"Tb927.10.3570","RNA editing exonuclease 2,RNA editing 3' exouridylylase,RNA-editing complex protein (KREX2)"
"Tb927.10.3660","aspartate aminotransferase"
"Tb927.10.3890","phosphatidylinositol-4-phosphate 5-kinase, putative (PIP5KII-alpha)"
"Tb927.10.3920","hypothetical protein, conserved"
"Tb927.10.3930","40S ribosomal protein S3A, putative"
"Tb927.10.3980","unspecified product"
"Tb927.10.400","hypothetical protein, conserved"
"Tb927.10.40","hypothetical protein"
"Tb927.10.4560","elongation factor 2"
"Tb927.10.4570","elongation factor 2"
"Tb927.10.4950","U2 small nuclear ribonucleoprotein 16.5K"
"Tb927.10.50","hypothetical protein, unlikely"
"Tb927.10.5100","hypothetical protein"
"Tb927.10.5260","hypothetical protein, conserved"
"Tb927.10.5340","40S ribosomal protein S18, putative (RPS18)"
"Tb927.10.5500","hypothetical protein, conserved"
"Tb927.10.550","hypothetical protein, conserved"
"Tb927.10.5600","hypothetical protein, conserved"
"Tb927.10.560","40S ribosomal proteins S11, putative"
"Tb927.10.5700","hypothetical protein, conserved"
"Tb927.10.5930","protein kinase, putative"
"Tb927.10.5940","protein kinase, putative,(OTHER) NEK family, HsNEK1-like"
"Tb927.10.6000","hypothetical protein, conserved"
"Tb927.10.60","expression site-associated gene (ESAG), putative"
"Tb927.10.6110","hypothetical protein, conserved"
"Tb927.10.6260","ATP-dependent DEAD/H RNA helicase, putative"
"Tb927.10.6560","hypothetical protein, conserved"
"Tb927.10.6600","hypothetical protein, conserved"
"Tb927.10.6700","hypothetical protein, conserved"
"Tb927.10.6720","hypothetical protein, conserved"
"Tb927.10.6740","hypothetical protein, conserved"
"Tb927.10.6750","hypothetical protein, conserved"
"Tb927.10.6760","hypothetical protein, conserved"
"Tb927.10.6910","Sterol methyltransferase, putative"
"Tb927.10.6940","Dipeptidyl-peptidase 8-like, putative"
"Tb927.10.6950","sterol 24-c-methyltransferase, putative"
"Tb927.10.6970","dipeptidyl-peptidase 8-like serine peptidase,serine peptidase, Clan SC, Family S9B"
"Tb927.10.7000","hypothetical protein, conserved"
"Tb927.10.7020","acid phosphatase, putative"
"Tb927.10.7160","procyclin-associated gene 1 (PAG1) protein, putative"
"Tb927.10.7200","hypothetical protein, conserved"
"Tb927.10.7270","hypothetical protein, conserved"
"Tb927.10.7290","hypothetical protein, conserved"
"Tb927.10.7310","terminal uridylyltransferase 3, putative (TUT3)"
"Tb927.10.7850","protein-L-isoaspartate, putative"
"Tb927.10.8000","hypothetical protein, conserved"
"Tb927.10.8270","eukaryotic translation initiation factor 3 subunit 8, putative"
"Tb927.10.8271","hypothetical protein"
"Tb927.10.8280","U1A small nuclear ribonucleoprotein (RBP14B)"
"Tb927.10.8290","eukaryotic translation initiation factor 3 subunit 8, putative"
"Tb927.10.8291","hypothetical protein"
"Tb927.10.8300","U1A small nuclear ribonucleoprotein (RBP14A)"
"Tb927.10.840","hypothetical protein, conserved"
"Tb927.10.8440","glucose transporter 1B (THT1-)"
"Tb927.10.8450","glucose transporter,glucose transporter 1E (THT1E)"
"Tb927.10.8470","glucose transporter, putative"
"Tb927.10.8480","glucose transporter, putative"
"Tb927.10.8490","glucose transporter, putative"
"Tb927.10.8510","glucose transporter, putative"
"Tb927.10.8520","glucose transporter, putative"
"Tb927.10.8530","glucose transporter,glucose transporter 2A (THT2A)"
"Tb927.10.8900","choline/ethanolamine phosphotransferase (CEPT)"
"Tb927.10.8950","kinetoplast DNA-associated protein, putative"
"Tb927.10.8970","kinetoplast DNA-associated protein, putative"
"Tb927.10.9220","hypothetical protein, conserved"
"Tb927.10.9420","ATP-dependent chaperone, putative,mitochondrial chaperone BCS1, putative"
"Tb927.10.9470","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 3 (ESAG3) protein, putative"
"Tb927.10.9480","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 3 (ESAG3) protein, putative"
"Tb927.10.9490","expression site-associated gene 3 (ESAG3)-like protein"
"Tb927.10.960","U4/U6-specific protein PRP4"
"Tb927.10.9675","hypothetical protein"
"Tb927.10.9690","predicted C2 domain protein"
"Tb927.10.9780","ATP-dependent DEAD/H RNA helicase, putative,ATP- dependent RNA helicase, putative"
"Tb927.10.980","hypothetical protein, conserved"
"Tb927.10.9880","60S ribosomal protein L18, putative (TbL18LP)"
"Tb927.10.9890","hypothetical protein, conserved"
"Tb927.10.9920","hypothetical protein, conserved"
"Tb927.11.100","variant surface glycoprotein (VSG), putative"
"Tb927.11.101","hypothetical protein, Tb specific"
"Tb927.11.1050","RNA processing factor 1, putative,ribosome biogenesis protein"
"Tb927.11.10790","40S ribosomal protein SA, putative"
"Tb927.11.10910","40S ribosomal protein SA, putative"
"Tb927.11.10920","hypothetical protein, conserved"
"Tb927.11.1100","calpain, putative,cysteine peptidase, Clan CA, family C2, putative"
"Tb927.11.11080","Nucleoporin (TbNup149)"
"Tb927.11.110","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 9 (ESAG9), fragment"
"Tb927.11.11160","phosphate transporter, putative"
"Tb927.11.11370","receptor for activated C kinase 1 (RACK1)"
"Tb927.11.11410","trans-sialidase, putative"
"Tb927.11.11725","ribosomal protein S29"
"Tb927.11.11740","membrane-bound acid phosphatase, putative"
"Tb927.11.11750","membrane-bound acid phosphatase, putative"
"Tb927.11.11820","40S ribosomal protein S17, putative"
"Tb927.11.11930.2","hypothetical protein, conserved"
"Tb927.11.11965","microtubule-associated protein CAP15"
"Tb927.11.11975","microtubule-associated protein CAP15"
"Tb927.11.11980","microtubule-associated protein,corset-associated protein 15 (CAP15)"
"Tb927.11.120","variant surface glycoprotein (VSG, pseudogene)-related, putative,variant surface glycoprotein-like (VSG-like), pseudogene"
"Tb927.11.12180","kinesin, putative"
"Tb927.11.12510","hypothetical protein, conserved"
"Tb927.11.12780","ribonucleoside-diphosphate reductase small chain, putative"
"Tb927.11.12790","ribonucleoside-diphosphate reductase small chain (RNR2)"
"Tb927.11.12800","ribonucleoside-diphosphate reductase small chain (RNR2)"
"Tb927.11.12810","ribonucleoside-diphosphate reductase small chain (RNR2)"
"Tb927.11.12820","ribonucleoside-diphosphate reductase small chain (RNR2)"
"Tb927.11.12850","oligopeptidase b,serine peptidase, clan SC, family S9A-like protein (OPB)"
"Tb927.11.13005","Ubiquitin-60S ribosomal protein L40"
"Tb927.11.13020","calmodulin"
"Tb927.11.13030","calmodulin"
"Tb927.11.13040","calmodulin"
"Tb927.11.13050","calmodulin"
"Tb927.11.13090","elongation factor 1 gamma, putative"
"Tb927.11.130","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 9 (ESAG9), fragment"
"Tb927.11.13110","hypothetical protein, conserved"
"Tb927.11.13127","cytochrome c oxidase subunit 10"
"Tb927.11.13140","cytochrome oxidase subunit X (COXX)"
"Tb927.11.13180","hypothetical protein conserved"
"Tb927.11.13190","elongation factor 1 gamma, putative"
"Tb927.11.13770","hypothetical protein, conserved"
"Tb927.11.14000","NRBD1,p34 (NRBD1)"
"Tb927.11.1400","hypothetical protein, conserved"
"Tb927.11.14410","hypothetical protein, conserved"
"Tb927.11.14570","hypothetical protein, conserved"
"Tb927.11.14610","procyclin-associated gene 4 (PAG4) protein, putative"
"Tb927.11.1480","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.11.1490","receptor-type adenylate cyclase GRESAG 4, putative (fragment)"
"Tb927.11.1495","ubiquitin carboxyl-terminal hydrolase (cysteine peptidase, Clan CA, family C19), putative"
"Tb927.11.1500","leucine-rich repeat protein (LRRP), putative, (fragment)"
"Tb927.11.150","receptor-type adenylate cyclase GRESAG 4, putative"
"Tb927.11.15110","hypothetical protein, conserved"
"Tb927.11.15330","phosphatidylinositol 3-kinase catalytic subunit, putative"
"Tb927.11.15370","hypothetical protein, conserved (TbKap123)"
"Tb927.11.15420","hypothetical protein, conserved"
"Tb927.11.15880","60S ribosomal protein L27, putative"
"Tb927.11.15900","60S ribosomal protein L27, putative"
"Tb927.11.16530","hypothetical protein, conserved"
"Tb927.11.16560","CMP-sialic acid transporter, putative"
"Tb927.11.16590","RNA-binding protein, putative (RBP37)"
"Tb927.11.16680","hypothetical protein, conserved"
"Tb927.11.16880","leucine-rich repeat protein (LRRP), putative"
"Tb927.11.16890","hypothetical protein, conserved"
"Tb927.11.16900","hypothetical protein"
"Tb927.11.17060","variant surface glycoprotein (VSG), putative"
"Tb927.11.17070","variant surface glycoprotein (VSG), putative"
"Tb927.11.17080","variant surface glycoprotein (VSG), putative"
"Tb927.11.17090","variant surface glycoprotein (VSG), putative"
"Tb927.11.17100","variant surface glycoprotein (VSG, pseudogene), fragment"
"Tb927.11.17110","variant surface glycoprotein (VSG), putative"
"Tb927.11.17120","variant surface glycoprotein (VSG), putative"
"Tb927.11.17130","variant surface glycoprotein (VSG),degenerate and franmeshifted"
"Tb927.11.17140","variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.11.17160","variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.11.17180","expression site-associated gene 3 (ESAG3), degenerate and frameshifted"
"Tb927.11.17190","variant surface glycoprotein (VSG), putative"
"Tb927.11.17200","expression site-associated gene 3 (ESAG3), degenerate and frameshifted"
"Tb927.11.17220","variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.11.17230","variant surface glycoprotein (VSG), point mutation"
"Tb927.11.17240","variant surface glycoprotein (VSG), fragment, degenerate"
"Tb927.11.17250","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17260","variant surface glycoprotein (VSG), fragment, degenerate"
"Tb927.11.17270","variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.11.17280","variant surface glycoprotein (VSG), point mutation"
"Tb927.11.17290","variant surface glycoprotein (VSG), point mutation"
"Tb927.11.17300","variant surface glycoprotein (VSG), frameshifted and point mutated pseudogene"
"Tb927.11.17310","hypothetical protein, conserved, point mutation"
"Tb927.11.17320","variant surface glycoprotein (VSG), putative"
"Tb927.11.17340","expression site-associated gene 3 (ESAG3), frameshifted and degenerate"
"Tb927.11.17350","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17360","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17370","variant surface glycoprotein (VSG), putative"
"Tb927.11.17390","expression site-associated gene 3 (ESAG3), frameshifted and degenerate"
"Tb927.11.17400","variant surface glycoprotein (VSG), fragment"
"Tb927.11.17410","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.17420","expression site-associated gene 3 (ESAG3), degenerate and frameshifted fragment"
"Tb927.11.17430","variant surface glycoprotein (VSG), fragment"
"Tb927.11.17440","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17450","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17480","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17500","variant surface glycoprotein (VSG), putative"
"Tb927.11.17510","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.17520","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.17530","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.17540","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.17550","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.17560","variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.11.17570","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17580","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.11.17630","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17640","expression site-associated gene 3 (ESAG3), frameshifted and degenerate"
"Tb927.11.17670","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17680","variant surface glycoprotein (VSG), point mutation"
"Tb927.11.17690","expression site-associated gene 3 (ESAG3), degenerate and frameshifted fragment"
"Tb927.11.17710","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.17730","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17740","variant surface glycoprotein (VSG), degenerate fragment"
"Tb927.11.17760","variant surface glycoprotein (VSG, atypical), putative"
"Tb927.11.17780","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17790","variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.11.17800","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17810","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.17820","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.17850","expression site-associated gene 9 (ESAG9), fragment"
"Tb927.11.1790","histone H1, putative"
"Tb927.11.17930","variant surface glycoprotein (VSG), degenerate and frameshifted"
"Tb927.11.17960","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17970","expression site-associated gene 3 (ESAG3), fragment"
"Tb927.11.17980","variant surface glycoprotein (VSG), degenerate"
"Tb927.11.17990","hypothetical protein, conserved, point mutation"
"Tb927.11.18000","variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.11.18010","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.18030","variant surface glycoprotein (VSG), fragment"
"Tb927.11.18040","expression site-associated gene 3 (ESAG3), frameshifted and degenerate"
"Tb927.11.18050","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.18060","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.18070","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.18080","variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.11.18090","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.18100","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.18110","variant surface glycoprotein (VSG, pseudogene), putative"
"Tb927.11.18130","hypothetical protein, conserved, frameshifted and point mutation"
"Tb927.11.18140","variant surface glycoprotein (VSG), frameshifted and point mutation"
"Tb927.11.18150","variant surface glycoprotein (VSG), frameshifted and degenerate"
"Tb927.11.18160","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.18180","expression site-associated gene 3 (ESAG3), degenerate"
"Tb927.11.18190","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.18200","hypothetical protein, unlikely"
"Tb927.11.18210","variant surface glycoprotein (VSG), frameshifted"
"Tb927.11.18230","variant surface glycoprotein (VSG), putative"
"Tb927.11.18240","variant surface glycoprotein (VSG), pseudogene"
"Tb927.11.18250","variant surface glycoprotein (VSG), putative"
"Tb927.11.18260","variant surface glycoprotein (VSG), putative"
"Tb927.11.18270","variant surface glycoprotein (VSG), putative"
"Tb927.11.18290","variant surface glycoprotein (VSG), putative"
"Tb927.11.18300","variant surface glycoprotein (VSG), putative"
"Tb927.11.18310","variant surface glycoprotein (VSG), putative"
